,h
2016-01-07,21.156849936251284
2016-01-08,21.244239564851163
2016-01-09,21.2698245793026
2016-01-10,21.30020061480137
2016-01-11,21.38001955682208
2016-01-12,21.410233601381275
2016-01-13,21.406594620398945
2016-01-14,21.405265374016565
2016-01-15,21.39407755335885
2016-01-16,21.3705100216872
2016-01-17,21.34195964623047
2016-01-18,21.31397756056795
2016-01-19,21.356738341577234
2016-01-20,21.393073312827497
2016-01-21,21.39956426668272
2016-01-22,21.39130904106488
2016-01-23,21.406608751561873
2016-01-24,21.40529904830031
2016-01-25,21.38605612788361
2016-01-26,21.35902779878711
2016-01-27,21.3305783323445
2016-01-28,21.302622480989797
2016-01-29,21.27699048921467
2016-01-30,21.25092001721081
2016-01-31,21.283097066710848
2016-02-01,21.321662691827637
2016-02-02,21.333295219946812
2016-02-03,21.351535285239795
2016-02-04,21.347891176406193
2016-02-05,21.332827058899248
2016-02-06,21.311772601170745
2016-02-07,21.33070753196989
2016-02-08,21.34422547545614
2016-02-09,21.412387316189328
2016-02-10,21.47664301769674
2016-02-11,21.502588173373255
2016-02-12,21.548673601865165
2016-02-13,21.567710983132084
2016-02-14,21.653657196136137
2016-02-15,21.69762916537327
2016-02-16,21.685425025420784
2016-02-17,21.64983644241606
2016-02-18,21.60951448153152
2016-02-19,21.567239403832605
2016-02-20,21.525766073314955
2016-02-21,21.487333994896368
2016-02-22,21.449427376151377
2016-02-23,21.41580106547467
2016-02-24,21.401922007260403
2016-02-25,21.39336442138337
2016-02-26,21.379647262623685
2016-02-27,21.35831369805041
2016-02-28,21.345601752403315
2016-02-29,21.32674761255427
2016-03-01,21.3024769149142
2016-03-02,21.31114628991131
2016-03-03,21.32900419409273
2016-03-04,21.36680230658037
2016-03-05,21.48396148660616
2016-03-06,21.51604779436499
2016-03-07,21.506461591749538
2016-03-08,21.477002135262435
2016-03-09,21.446647956343604
2016-03-10,21.47701146838492
2016-03-11,21.482202305191553
2016-03-12,21.460860618539353
2016-03-13,21.42630668027081
2016-03-14,21.389532748810243
2016-03-15,21.353821135287507
2016-03-16,21.319791329488922
2016-03-17,21.287420941613377
2016-03-18,21.25729597312191
2016-03-19,21.234459300789098
2016-03-20,21.212881142556647
2016-03-21,21.232937832613047
2016-03-22,21.23261271787583
2016-03-23,21.215841600206286
2016-03-24,21.19324292589294
2016-03-25,21.169580146453136
2016-03-26,21.148426822717294
2016-03-27,21.129667855944554
2016-03-28,21.1196413516673
2016-03-29,21.10553783139571
2016-03-30,21.089586117317197
2016-03-31,21.07106944126863
2016-04-01,21.072603906886687
2016-04-02,21.066242037067475
2016-04-03,21.051946508248317
2016-04-04,21.035944347227776
2016-04-05,21.039880682418815
2016-04-06,21.03375202388086
2016-04-07,21.02299859325729
2016-04-08,21.019693892231782
2016-04-09,21.014540601272426
2016-04-10,21.035498962244862
2016-04-11,21.030114374079492
2016-04-12,21.016265890053987
2016-04-13,21.002913418752073
2016-04-14,20.986831687177634
2016-04-15,20.983263076275037
2016-04-16,20.999686096483213
2016-04-17,21.01342310865422
2016-04-18,21.01291280195377
2016-04-19,21.000417977327253
2016-04-20,20.98159860392099
2016-04-21,20.9638078830232
2016-04-22,20.946978724614418
2016-04-23,20.931079744414134
2016-04-24,20.920881862522887
2016-04-25,20.909020599174756
2016-04-26,20.896392415548725
2016-04-27,20.883536111154278
2016-04-28,20.87074275914077
2016-04-29,20.858488789649293
2016-04-30,20.84757102254195
2016-05-01,20.83751502289002
2016-05-02,20.827327814937185
2016-05-03,20.817244285670387
2016-05-04,20.807465355818454
2016-05-05,20.797950317542817
2016-05-06,20.78875851487769
2016-05-07,20.779935235491
2016-05-08,20.771468172467557
2016-05-09,20.76334518614142
2016-05-10,20.952589208045755
2016-05-11,20.986211959004166
2016-05-12,20.964914945818865
2016-05-13,20.94075949553891
2016-05-14,20.918581472905807
2016-05-15,20.89892073059036
2016-05-16,20.880169715765955
2016-05-17,20.86318882444953
2016-05-18,20.847671550041753
2016-05-19,20.833655727817312
2016-05-20,20.820641526202994
2016-05-21,20.808454431568265
2016-05-22,20.897976923379815
2016-05-23,20.948792735822014
2016-05-24,20.949066465023865
2016-05-25,20.931321136356967
2016-05-26,20.933428315615444
2016-05-27,20.925204852922324
2016-05-28,20.908285017341246
2016-05-29,20.974324669710953
2016-05-30,20.995782147914646
2016-05-31,20.993046491912676
2016-06-01,20.976853214044123
2016-06-02,20.9619756731217
2016-06-03,20.943751663136748
2016-06-04,20.925198740369236
2016-06-05,20.907111675830805
2016-06-06,20.88931037708162
2016-06-07,20.916958535955477
2016-06-08,20.91766971142069
2016-06-09,20.901622074706783
2016-06-10,20.883403739944246
2016-06-11,20.867999362534665
2016-06-12,20.853178757485296
2016-06-13,20.841120560544383
2016-06-14,20.835096382458115
2016-06-15,20.831939144133308
2016-06-16,20.862352815877394
2016-06-17,20.893975033752003
2016-06-18,20.9908358371852
2016-06-19,21.00664382357503
2016-06-20,20.98824617607498
2016-06-21,20.963228338023207
2016-06-22,20.93776870017404
2016-06-23,20.91421506751847
2016-06-24,20.89378935269126
2016-06-25,20.875889174595265
2016-06-26,20.859532719937583
2016-06-27,20.84451901402311
2016-06-28,20.830689299262136
2016-06-29,20.817852353415546
2016-06-30,20.80587501466798
2016-07-01,20.794638878389918
2016-07-02,20.78417171483684
2016-07-03,20.774304743998233
2016-07-04,20.764881439837
2016-07-05,20.755876839500342
2016-07-06,20.74727833446106
2016-07-07,20.739061926224604
2016-07-08,20.731201830780808
2016-07-09,20.723674011777586
2016-07-10,20.71645500335617
2016-07-11,20.70952364579738
2016-07-12,20.70286105487773
2016-07-13,20.696450567712404
2016-07-14,20.690294973606292
2016-07-15,20.68435320434308
2016-07-16,20.678613391073736
2016-07-17,20.67306849607711
2016-07-18,20.667710767177077
2016-07-19,20.66253170358203
2016-07-20,20.65752288887078
2016-07-21,20.652676312147037
2016-07-22,20.647984411710834
2016-07-23,20.64344015025693
2016-07-24,20.639037005800787
2016-07-25,20.63476890279728
2016-07-26,20.63063016309182
2016-07-27,20.62661546509782
2016-07-28,20.622720550059732
2016-07-29,20.619136567531317
2016-07-30,20.615572273515806
2016-07-31,20.61562861910378
2016-08-01,20.61410671637016
2016-08-02,20.61111084821506
2016-08-03,20.60762864720962
2016-08-04,20.604049387350535
2016-08-05,20.620748030850947
2016-08-06,20.626223589170046
2016-08-07,20.623314009195436
2016-08-08,20.618031958889915
2016-08-09,20.61276228747616
2016-08-10,20.60782412959844
2016-08-11,20.60325415775561
2016-08-12,20.59903262772004
2016-08-13,20.595101310412016
2016-08-14,20.591414665360343
2016-08-15,20.587938828246518
2016-08-16,20.584646109835266
2016-08-17,20.581512825743147
2016-08-18,20.578520519335832
2016-08-19,20.575654001676494
2016-08-20,20.57291700537574
2016-08-21,20.570282337954023
2016-08-22,20.56773511154971
2016-08-23,20.565271481964402
2016-08-24,20.56288858447405
2016-08-25,20.560583341896155
2016-08-26,20.55835177487621
2016-08-27,20.556189993028042
2016-08-28,20.554094344716113
2016-08-29,20.552061595947567
2016-08-30,20.550088791597084
2016-08-31,20.548173218972842
2016-09-01,20.546312395858568
2016-09-02,20.5445040390153
2016-09-03,20.54274603647389
2016-09-04,20.541036424996847
2016-09-05,20.53937337256002
2016-09-06,20.53775520276961
2016-09-07,20.536180251083422
2016-09-08,20.534646996431817
2016-09-09,20.53315401710704
2016-09-10,20.53169996184493
